seed,arm,metric,value
1,Shared founders,cooperation,0.90625
1,Mixed founders,cooperation,0.036458333333333336
2,Shared founders,cooperation,0.9895833333333334
2,Mixed founders,cooperation,0.015625
3,Shared founders,cooperation,0.984375
3,Mixed founders,cooperation,0.03125
4,Shared founders,cooperation,0.9895833333333334
4,Mixed founders,cooperation,0.026041666666666668
5,Shared founders,cooperation,0.9739583333333334
5,Mixed founders,cooperation,0.026041666666666668
6,Shared founders,cooperation,0.8177083333333334
6,Mixed founders,cooperation,0.015625
7,Shared founders,cooperation,0.8177083333333334
7,Mixed founders,cooperation,0.020833333333333332
8,Shared founders,cooperation,0.984375
8,Mixed founders,cooperation,0.03125
9,Shared founders,cooperation,0.9791666666666666
9,Mixed founders,cooperation,0.0625
10,Shared founders,cooperation,0.984375
10,Mixed founders,cooperation,0.015625
11,Shared founders,cooperation,0.9739583333333334
11,Mixed founders,cooperation,0.052083333333333336
12,Shared founders,cooperation,0.984375
12,Mixed founders,cooperation,0.026041666666666668
13,Shared founders,cooperation,0.9895833333333334
13,Mixed founders,cooperation,0.057291666666666664
14,Shared founders,cooperation,0.984375
14,Mixed founders,cooperation,0.020833333333333332
15,Shared founders,cooperation,0.9791666666666666
15,Mixed founders,cooperation,0.03125
16,Shared founders,cooperation,0.890625
16,Mixed founders,cooperation,0.041666666666666664
17,Shared founders,cooperation,0.984375
17,Mixed founders,cooperation,0.057291666666666664
18,Shared founders,cooperation,0.8958333333333334
18,Mixed founders,cooperation,0.020833333333333332
19,Shared founders,cooperation,0.984375
19,Mixed founders,cooperation,0.026041666666666668
20,Shared founders,cooperation,0.890625
20,Mixed founders,cooperation,0.052083333333333336
21,Shared founders,cooperation,0.9895833333333334
21,Mixed founders,cooperation,0.03125
22,Shared founders,cooperation,0.9166666666666666
22,Mixed founders,cooperation,0.046875
23,Shared founders,cooperation,0.9791666666666666
23,Mixed founders,cooperation,0.046875
24,Shared founders,cooperation,0.984375
24,Mixed founders,cooperation,0.046875
25,Shared founders,cooperation,0.828125
25,Mixed founders,cooperation,0.03125
26,Shared founders,cooperation,0.828125
26,Mixed founders,cooperation,0.005208333333333333
27,Shared founders,cooperation,0.984375
27,Mixed founders,cooperation,0.015625
28,Shared founders,cooperation,0.9010416666666666
28,Mixed founders,cooperation,0.03125
29,Shared founders,cooperation,0.984375
29,Mixed founders,cooperation,0.057291666666666664
30,Shared founders,cooperation,0.9114583333333334
30,Mixed founders,cooperation,0.036458333333333336
31,Shared founders,cooperation,0.8958333333333334
31,Mixed founders,cooperation,0.036458333333333336
32,Shared founders,cooperation,0.96875
32,Mixed founders,cooperation,0.036458333333333336
