seed,arm,metric,value
1,No adhesion,connected,0.39655172413793105
1,Local adhesion,connected,1
2,No adhesion,connected,0.22413793103448276
2,Local adhesion,connected,1
3,No adhesion,connected,0.3793103448275862
3,Local adhesion,connected,1
4,No adhesion,connected,0.3793103448275862
4,Local adhesion,connected,1
5,No adhesion,connected,0.603448275862069
5,Local adhesion,connected,0.9655172413793104
6,No adhesion,connected,0.41379310344827586
6,Local adhesion,connected,1
7,No adhesion,connected,0.603448275862069
7,Local adhesion,connected,0.5172413793103449
8,No adhesion,connected,0.3275862068965517
8,Local adhesion,connected,1
9,No adhesion,connected,0.4482758620689655
9,Local adhesion,connected,0.6551724137931034
10,No adhesion,connected,0.2413793103448276
10,Local adhesion,connected,1
11,No adhesion,connected,0.6551724137931034
11,Local adhesion,connected,1
12,No adhesion,connected,0.7068965517241379
12,Local adhesion,connected,0.9827586206896551
13,No adhesion,connected,0.7586206896551724
13,Local adhesion,connected,0.9827586206896551
14,No adhesion,connected,0.5344827586206896
14,Local adhesion,connected,1
15,No adhesion,connected,0.5
15,Local adhesion,connected,0.9655172413793104
16,No adhesion,connected,0.3620689655172414
16,Local adhesion,connected,1
17,No adhesion,connected,0.3275862068965517
17,Local adhesion,connected,1
18,No adhesion,connected,0.29310344827586204
18,Local adhesion,connected,1
19,No adhesion,connected,0.39655172413793105
19,Local adhesion,connected,1
20,No adhesion,connected,0.8103448275862069
20,Local adhesion,connected,1
21,No adhesion,connected,0.4827586206896552
21,Local adhesion,connected,1
22,No adhesion,connected,0.8275862068965517
22,Local adhesion,connected,1
23,No adhesion,connected,0.4827586206896552
23,Local adhesion,connected,1
24,No adhesion,connected,0.46551724137931033
24,Local adhesion,connected,1
25,No adhesion,connected,0.7413793103448276
25,Local adhesion,connected,1
26,No adhesion,connected,0.6206896551724138
26,Local adhesion,connected,0.9655172413793104
27,No adhesion,connected,0.8620689655172413
27,Local adhesion,connected,0.9827586206896551
28,No adhesion,connected,0.5344827586206896
28,Local adhesion,connected,1
29,No adhesion,connected,0.39655172413793105
29,Local adhesion,connected,1
30,No adhesion,connected,0.5862068965517241
30,Local adhesion,connected,1
31,No adhesion,connected,0.46551724137931033
31,Local adhesion,connected,1
32,No adhesion,connected,0.39655172413793105
32,Local adhesion,connected,1
