seed,arm,metric,value
1,No maintenance,survivedDays,108
1,Maintain the loop,survivedDays,240
2,No maintenance,survivedDays,108
2,Maintain the loop,survivedDays,240
3,No maintenance,survivedDays,108
3,Maintain the loop,survivedDays,240
4,No maintenance,survivedDays,108
4,Maintain the loop,survivedDays,240
5,No maintenance,survivedDays,108
5,Maintain the loop,survivedDays,240
6,No maintenance,survivedDays,108
6,Maintain the loop,survivedDays,240
7,No maintenance,survivedDays,108
7,Maintain the loop,survivedDays,240
8,No maintenance,survivedDays,108
8,Maintain the loop,survivedDays,240
9,No maintenance,survivedDays,108
9,Maintain the loop,survivedDays,240
10,No maintenance,survivedDays,108
10,Maintain the loop,survivedDays,240
11,No maintenance,survivedDays,108
11,Maintain the loop,survivedDays,240
12,No maintenance,survivedDays,108
12,Maintain the loop,survivedDays,240
13,No maintenance,survivedDays,108
13,Maintain the loop,survivedDays,240
14,No maintenance,survivedDays,108
14,Maintain the loop,survivedDays,240
15,No maintenance,survivedDays,108
15,Maintain the loop,survivedDays,240
16,No maintenance,survivedDays,108
16,Maintain the loop,survivedDays,240
17,No maintenance,survivedDays,108
17,Maintain the loop,survivedDays,240
18,No maintenance,survivedDays,108
18,Maintain the loop,survivedDays,240
19,No maintenance,survivedDays,108
19,Maintain the loop,survivedDays,240
20,No maintenance,survivedDays,108
20,Maintain the loop,survivedDays,240
21,No maintenance,survivedDays,108
21,Maintain the loop,survivedDays,240
22,No maintenance,survivedDays,108
22,Maintain the loop,survivedDays,240
23,No maintenance,survivedDays,108
23,Maintain the loop,survivedDays,240
24,No maintenance,survivedDays,108
24,Maintain the loop,survivedDays,240
25,No maintenance,survivedDays,108
25,Maintain the loop,survivedDays,240
26,No maintenance,survivedDays,108
26,Maintain the loop,survivedDays,240
27,No maintenance,survivedDays,108
27,Maintain the loop,survivedDays,240
28,No maintenance,survivedDays,108
28,Maintain the loop,survivedDays,240
29,No maintenance,survivedDays,108
29,Maintain the loop,survivedDays,240
30,No maintenance,survivedDays,108
30,Maintain the loop,survivedDays,240
31,No maintenance,survivedDays,108
31,Maintain the loop,survivedDays,240
32,No maintenance,survivedDays,108
32,Maintain the loop,survivedDays,240
