seed,arm,metric,value
1,Labels hidden,recall,0.7916666666666666
1,Labels visible,recall,0.5833333333333334
2,Labels hidden,recall,0.5416666666666666
2,Labels visible,recall,0.5416666666666666
3,Labels hidden,recall,0.625
3,Labels visible,recall,0.5
4,Labels hidden,recall,0.75
4,Labels visible,recall,0.75
5,Labels hidden,recall,0.5833333333333334
5,Labels visible,recall,0.5
6,Labels hidden,recall,0.5833333333333334
6,Labels visible,recall,0.5833333333333334
7,Labels hidden,recall,0.6666666666666666
7,Labels visible,recall,0.7916666666666666
8,Labels hidden,recall,0.5
8,Labels visible,recall,0.5
9,Labels hidden,recall,0.625
9,Labels visible,recall,0.5
10,Labels hidden,recall,0.5833333333333334
10,Labels visible,recall,0.5833333333333334
11,Labels hidden,recall,0.5416666666666666
11,Labels visible,recall,0.4166666666666667
12,Labels hidden,recall,0.625
12,Labels visible,recall,0.5833333333333334
13,Labels hidden,recall,0.7083333333333334
13,Labels visible,recall,0.6666666666666666
14,Labels hidden,recall,0.5416666666666666
14,Labels visible,recall,0.5
15,Labels hidden,recall,0.625
15,Labels visible,recall,0.4583333333333333
16,Labels hidden,recall,0.7083333333333334
16,Labels visible,recall,0.7083333333333334
17,Labels hidden,recall,0.4583333333333333
17,Labels visible,recall,0.5
18,Labels hidden,recall,0.625
18,Labels visible,recall,0.5833333333333334
19,Labels hidden,recall,0.625
19,Labels visible,recall,0.5833333333333334
20,Labels hidden,recall,0.5833333333333334
20,Labels visible,recall,0.5
21,Labels hidden,recall,0.625
21,Labels visible,recall,0.5416666666666666
22,Labels hidden,recall,0.5416666666666666
22,Labels visible,recall,0.5833333333333334
23,Labels hidden,recall,0.6666666666666666
23,Labels visible,recall,0.7083333333333334
24,Labels hidden,recall,0.7083333333333334
24,Labels visible,recall,0.4583333333333333
25,Labels hidden,recall,0.5833333333333334
25,Labels visible,recall,0.5416666666666666
26,Labels hidden,recall,0.5833333333333334
26,Labels visible,recall,0.4583333333333333
27,Labels hidden,recall,0.7083333333333334
27,Labels visible,recall,0.4583333333333333
28,Labels hidden,recall,0.7083333333333334
28,Labels visible,recall,0.6666666666666666
29,Labels hidden,recall,0.625
29,Labels visible,recall,0.625
30,Labels hidden,recall,0.7083333333333334
30,Labels visible,recall,0.5833333333333334
31,Labels hidden,recall,0.7083333333333334
31,Labels visible,recall,0.6666666666666666
32,Labels hidden,recall,0.625
32,Labels visible,recall,0.5416666666666666
