seed,arm,metric,value
1,1 reader,recall,0
1,50 readers,recall,0
1,"1,000 readers",recall,1
2,1 reader,recall,0
2,50 readers,recall,0
2,"1,000 readers",recall,1
3,1 reader,recall,0
3,50 readers,recall,0
3,"1,000 readers",recall,1
4,1 reader,recall,0
4,50 readers,recall,0
4,"1,000 readers",recall,1
5,1 reader,recall,0
5,50 readers,recall,0
5,"1,000 readers",recall,1
6,1 reader,recall,0
6,50 readers,recall,0
6,"1,000 readers",recall,1
7,1 reader,recall,0
7,50 readers,recall,0
7,"1,000 readers",recall,1
8,1 reader,recall,0
8,50 readers,recall,0
8,"1,000 readers",recall,1
9,1 reader,recall,0
9,50 readers,recall,0
9,"1,000 readers",recall,1
10,1 reader,recall,0
10,50 readers,recall,0
10,"1,000 readers",recall,1
11,1 reader,recall,0
11,50 readers,recall,0
11,"1,000 readers",recall,1
12,1 reader,recall,0
12,50 readers,recall,0
12,"1,000 readers",recall,1
13,1 reader,recall,0
13,50 readers,recall,0
13,"1,000 readers",recall,1
14,1 reader,recall,0
14,50 readers,recall,0
14,"1,000 readers",recall,1
15,1 reader,recall,0
15,50 readers,recall,0
15,"1,000 readers",recall,1
16,1 reader,recall,0
16,50 readers,recall,0
16,"1,000 readers",recall,1
17,1 reader,recall,0
17,50 readers,recall,0
17,"1,000 readers",recall,1
18,1 reader,recall,0
18,50 readers,recall,0
18,"1,000 readers",recall,1
19,1 reader,recall,0
19,50 readers,recall,0
19,"1,000 readers",recall,1
20,1 reader,recall,0
20,50 readers,recall,0
20,"1,000 readers",recall,1
21,1 reader,recall,0
21,50 readers,recall,0
21,"1,000 readers",recall,1
22,1 reader,recall,0
22,50 readers,recall,0
22,"1,000 readers",recall,1
23,1 reader,recall,0
23,50 readers,recall,0
23,"1,000 readers",recall,1
24,1 reader,recall,0
24,50 readers,recall,0
24,"1,000 readers",recall,1
25,1 reader,recall,0
25,50 readers,recall,0
25,"1,000 readers",recall,1
26,1 reader,recall,0
26,50 readers,recall,0
26,"1,000 readers",recall,1
27,1 reader,recall,0
27,50 readers,recall,0
27,"1,000 readers",recall,1
28,1 reader,recall,0
28,50 readers,recall,0
28,"1,000 readers",recall,1
29,1 reader,recall,0
29,50 readers,recall,0
29,"1,000 readers",recall,1
30,1 reader,recall,0
30,50 readers,recall,0
30,"1,000 readers",recall,1
31,1 reader,recall,0
31,50 readers,recall,0
31,"1,000 readers",recall,1
32,1 reader,recall,0
32,50 readers,recall,0
32,"1,000 readers",recall,1
