seed,arm,metric,value
1,Everyone adapts,weirdTrueKept,0
1,Protected explorers,weirdTrueKept,0
2,Everyone adapts,weirdTrueKept,0
2,Protected explorers,weirdTrueKept,0
3,Everyone adapts,weirdTrueKept,0
3,Protected explorers,weirdTrueKept,1
4,Everyone adapts,weirdTrueKept,0
4,Protected explorers,weirdTrueKept,0
5,Everyone adapts,weirdTrueKept,0
5,Protected explorers,weirdTrueKept,0
6,Everyone adapts,weirdTrueKept,0
6,Protected explorers,weirdTrueKept,0
7,Everyone adapts,weirdTrueKept,0
7,Protected explorers,weirdTrueKept,0
8,Everyone adapts,weirdTrueKept,0
8,Protected explorers,weirdTrueKept,0
9,Everyone adapts,weirdTrueKept,0
9,Protected explorers,weirdTrueKept,0
10,Everyone adapts,weirdTrueKept,0
10,Protected explorers,weirdTrueKept,0
11,Everyone adapts,weirdTrueKept,0
11,Protected explorers,weirdTrueKept,0
12,Everyone adapts,weirdTrueKept,0
12,Protected explorers,weirdTrueKept,1
13,Everyone adapts,weirdTrueKept,0
13,Protected explorers,weirdTrueKept,0
14,Everyone adapts,weirdTrueKept,0
14,Protected explorers,weirdTrueKept,0
15,Everyone adapts,weirdTrueKept,0
15,Protected explorers,weirdTrueKept,0
16,Everyone adapts,weirdTrueKept,0
16,Protected explorers,weirdTrueKept,0
17,Everyone adapts,weirdTrueKept,0
17,Protected explorers,weirdTrueKept,0
18,Everyone adapts,weirdTrueKept,0
18,Protected explorers,weirdTrueKept,0
19,Everyone adapts,weirdTrueKept,0
19,Protected explorers,weirdTrueKept,0
20,Everyone adapts,weirdTrueKept,0
20,Protected explorers,weirdTrueKept,0
21,Everyone adapts,weirdTrueKept,0
21,Protected explorers,weirdTrueKept,3
22,Everyone adapts,weirdTrueKept,0
22,Protected explorers,weirdTrueKept,1
23,Everyone adapts,weirdTrueKept,0
23,Protected explorers,weirdTrueKept,1
24,Everyone adapts,weirdTrueKept,0
24,Protected explorers,weirdTrueKept,0
25,Everyone adapts,weirdTrueKept,0
25,Protected explorers,weirdTrueKept,0
26,Everyone adapts,weirdTrueKept,0
26,Protected explorers,weirdTrueKept,0
27,Everyone adapts,weirdTrueKept,0
27,Protected explorers,weirdTrueKept,0
28,Everyone adapts,weirdTrueKept,0
28,Protected explorers,weirdTrueKept,0
29,Everyone adapts,weirdTrueKept,0
29,Protected explorers,weirdTrueKept,0
30,Everyone adapts,weirdTrueKept,0
30,Protected explorers,weirdTrueKept,0
31,Everyone adapts,weirdTrueKept,0
31,Protected explorers,weirdTrueKept,2
32,Everyone adapts,weirdTrueKept,0
32,Protected explorers,weirdTrueKept,0
