seed,arm,metric,value
1,Isolated search,diversity,0.9222831848734427
1,Shared board,diversity,0.01484400929403562
2,Isolated search,diversity,0.9360245883241219
2,Shared board,diversity,0.016646638901606413
3,Isolated search,diversity,0.9380587446125241
3,Shared board,diversity,0.015797205465372208
4,Isolated search,diversity,0.9493656575608037
4,Shared board,diversity,0.015412649600239428
5,Isolated search,diversity,0.934734792165847
5,Shared board,diversity,0.01551357075594009
6,Isolated search,diversity,0.9540274842916425
6,Shared board,diversity,0.015042300588637092
7,Isolated search,diversity,0.9458421357858326
7,Shared board,diversity,0.0161071550259296
8,Isolated search,diversity,0.9331882514968542
8,Shared board,diversity,0.016617863905473346
9,Isolated search,diversity,0.935965313970218
9,Shared board,diversity,0.017409217502415312
10,Isolated search,diversity,0.9391686378005467
10,Shared board,diversity,0.01692006308025566
11,Isolated search,diversity,0.9505167815781385
11,Shared board,diversity,0.01543659582269228
12,Isolated search,diversity,0.9423299759226322
12,Shared board,diversity,0.017449628683205123
13,Isolated search,diversity,0.9273820917423808
13,Shared board,diversity,0.016617676063563385
14,Isolated search,diversity,0.936857241762352
14,Shared board,diversity,0.01697287445378544
15,Isolated search,diversity,0.9266094056871397
15,Shared board,diversity,0.016814677856039704
16,Isolated search,diversity,0.9439676601911436
16,Shared board,diversity,0.017126353587339112
17,Isolated search,diversity,0.9385276207137195
17,Shared board,diversity,0.016233347998341977
18,Isolated search,diversity,0.9406944695716686
18,Shared board,diversity,0.01591540924874052
19,Isolated search,diversity,0.9377265508227097
19,Shared board,diversity,0.015693422099562003
20,Isolated search,diversity,0.9364613405468594
20,Shared board,diversity,0.017410375018769082
21,Isolated search,diversity,0.9459816538426274
21,Shared board,diversity,0.016414642186664663
22,Isolated search,diversity,0.9323516352778206
22,Shared board,diversity,0.016309532878549853
23,Isolated search,diversity,0.9324261416649098
23,Shared board,diversity,0.01754069743845935
24,Isolated search,diversity,0.9238721480301781
24,Shared board,diversity,0.015936384812969724
25,Isolated search,diversity,0.9456222894401891
25,Shared board,diversity,0.01684102629922226
26,Isolated search,diversity,0.9433148571740165
26,Shared board,diversity,0.015655289691922366
27,Isolated search,diversity,0.9219034900332542
27,Shared board,diversity,0.015147239692198005
28,Isolated search,diversity,0.932215111487964
28,Shared board,diversity,0.016494256542845892
29,Isolated search,diversity,0.938393153896477
29,Shared board,diversity,0.016219189148983786
30,Isolated search,diversity,0.9439701481014321
30,Shared board,diversity,0.01650288939032846
31,Isolated search,diversity,0.9435023507665373
31,Shared board,diversity,0.015076484100972721
32,Isolated search,diversity,0.9407013152746225
32,Shared board,diversity,0.016814610930085263
